height,timestamp,diff,change,bits,average_time(seconds),average_hashrate,diff (6-period later),diff (12-period later),diff (24-period later)
374976,1442519404,59335351233,4.17,0x181287ba,576,4.24E+17,79102380900,1.63492E+11,2.01893E+11
376992,1443700390,60813224039,2.49,0x18121472,586,4.35E+17,93448670796,1.58427E+11,2.17375E+11
379008,1444908751,60883825480,0.12,0x18120f14,599,4.36E+17,1.0388E+11,1.65497E+11,2.20756E+11
381024,1446092706,62253982449,2.25,0x1811a954,587,4.45E+17,1.13354E+11,1.66852E+11,2.25833E+11
383040,1447236692,65848255179,5.77,0x1810b289,567,4.71E+17,1.20033E+11,1.78678E+11,2.41227E+11
385056,1448332462,72722780642,10.44,0x180f1e76,544,5.20E+17,1.44116E+11,1.78659E+11,2.58523E+11
387072,1449444652,79102380900,8.77,0x180de64f,552,5.66E+17,1.63492E+11,1.94255E+11,2.53618E+11
389088,1450469289,93448670796,18.14,0x180bc409,508,6.68E+17,1.58427E+11,1.99312E+11,2.5462E+11
391104,1451558562,1.04E+11,11.16,0x180a9591,540,7.43E+17,1.65497E+11,1.96061E+11,2.81801E+11
393120,1452667178,1.13E+11,9.12,0x1809b31b,550,8.11E+17,1.66852E+11,2.09453E+11,2.86766E+11
395136,1453810745,1.20E+11,5.89,0x180928f0,567,8.58E+17,1.78678E+11,2.13399E+11,3.10154E+11
397152,1454818360,1.44E+11,20.06,0x1807a114,500,1.03E+18,1.78659E+11,2.13493E+11,3.17688E+11
399168,1455885256,1.63E+11,13.44,0x1806b99f,529,1.17E+18,1.94255E+11,2.01893E+11,3.369E+11
401184,1457133956,1.58E+11,-3.1,0x1806f0a8,619,1.13E+18,1.99312E+11,2.17375E+11,3.92963E+11
403200,1458292068,1.65E+11,4.46,0x1806a4c3,574,1.18E+18,1.96061E+11,2.20756E+11,4.22171E+11
405216,1459492475,1.67E+11,0.82,0x180696f4,595,1.19E+18,2.09453E+11,2.25833E+11,4.4078E+11
407232,1460622341,1.79E+11,7.09,0x1806274b,560,1.28E+18,2.13399E+11,2.41227E+11,4.60769E+11
409248,1461832110,1.79E+11,-0.01,0x18062776,600,1.28E+18,2.13493E+11,2.58523E+11,4.75705E+11
411264,1462944866,1.94E+11,8.73,0x1805a8fa,552,1.39E+18,2.01893E+11,2.53618E+11,4.99636E+11
413280,1464123766,1.99E+11,2.6,0x18058436,585,1.43E+18,2.17375E+11,2.5462E+11,5.20809E+11
415296,1465353718,1.96E+11,-1.63,0x18059ba0,610,1.40E+18,2.20756E+11,2.81801E+11,5.21975E+11
417312,1466486338,2.09E+11,6.83,0x18053fd6,562,1.50E+18,2.25833E+11,2.86766E+11,5.59971E+11
419328,1467674161,2.13E+11,1.88,0x180526fd,589,1.53E+18,2.41227E+11,3.10154E+11,5.95922E+11
421344,1468884162,2.13E+11,0.04,0x18052669,600,1.53E+18,2.58523E+11,3.17688E+11,6.7876E+11
423360,1470163842,2.02E+11,-5.43,0x18057228,635,1.44E+18,2.53618E+11,3.369E+11,7.11697E+11
425376,1471287554,2.17E+11,7.67,0x18050edc,557,1.56E+18,2.5462E+11,3.92963E+11,7.08659E+11
427392,1472479861,2.21E+11,1.56,0x1804fb08,591,1.58E+18,2.81801E+11,4.22171E+11,8.04525E+11
429408,1473662347,2.26E+11,2.3,0x1804de5e,587,1.62E+18,2.86766E+11,4.4078E+11,8.60222E+11
431424,1474795015,2.41E+11,6.82,0x18048ed4,562,1.73E+18,3.10154E+11,4.60769E+11,9.23233E+11
433440,1475924010,2.59E+11,7.17,0x180440c4,560,1.85E+18,3.17688E+11,4.75705E+11,8.88172E+11
435456,1477159378,2.54E+11,-1.9,0x180455d2,613,1.81E+18,3.369E+11,4.99636E+11,9.22725E+11
437472,1478364418,2.55E+11,0.4,0x18045174,598,1.82E+18,3.92963E+11,5.20809E+11,1.1034E+12
439488,1479457815,2.82E+11,10.68,0x1803e6d4,542,2.02E+18,4.22171E+11,5.21975E+11,1.12386E+12
441504,1480646786,2.87E+11,1.76,0x1803d589,590,2.05E+18,4.4078E+11,5.59971E+11,1.19679E+12
443520,1481765313,3.10E+11,8.16,0x18038b85,555,2.22E+18,4.60769E+11,5.95922E+11,1.45284E+12
445536,1482946855,3.18E+11,2.43,0x180375ff,586,2.27E+18,4.75705E+11,6.7876E+11,1.36442E+12
447552,1484088052,3.37E+11,6.05,0x18034379,566,2.41E+18,4.99636E+11,7.11697E+11,1.347E+12
449568,1485125572,3.93E+11,16.64,0x1802cc47,515,2.81E+18,5.20809E+11,7.08659E+11,1.5909E+12
451584,1486251529,4.22E+11,7.43,0x18029ab9,559,3.02E+18,5.21975E+11,8.04525E+11,1.87311E+12
453600,1487410706,4.41E+11,4.41,0x18027e93,575,3.15E+18,5.59971E+11,8.60222E+11,1.93114E+12
455616,1488567886,4.61E+11,4.54,0x180262df,574,3.30E+18,5.95922E+11,9.23233E+11,2.22785E+12
457632,1489739775,4.76E+11,3.24,0x18024fb1,581,3.40E+18,6.7876E+11,8.88172E+11,2.60308E+12
459648,1490891948,5.00E+11,5.03,0x1802335a,572,3.57E+18,7.11697E+11,9.22725E+11,2.87467E+12
461664,1492052390,5.21E+11,4.24,0x18021c73,576,3.73E+18,7.08659E+11,1.1034E+12,3.00738E+12
463680,1493259601,5.22E+11,0.22,0x18021b3e,599,3.74E+18,8.04525E+11,1.12386E+12,3.29061E+12
465696,1494387648,5.60E+11,7.28,0x1801f6a7,560,4.01E+18,8.60222E+11,1.19679E+12,3.46254E+12
467712,1495524592,5.96E+11,6.42,0x1801d854,564,4.26E+18,9.23233E+11,1.45284E+12,3.51106E+12
469728,1496586907,6.79E+11,13.9,0x18019eaf,527,4.86E+18,8.88172E+11,1.36442E+12,3.83932E+12
471744,1497741533,7.12E+11,4.85,0x18018b7e,573,5.09E+18,9.22725E+11,1.347E+12,4.02206E+12
473760,1498956437,7.09E+11,-0.43,0x18018d30,603,5.07E+18,1.1034E+12,1.5909E+12,4.14388E+12
475776,1500021942,8.05E+11,13.53,0x18015ddc,529,5.76E+18,1.12386E+12,1.87311E+12,4.30695E+12
477792,1501153434,8.60E+11,6.92,0x18014735,561,6.16E+18,1.19679E+12,1.93114E+12,4.9407E+12
479808,1502282210,9.23E+11,7.32,0x180130e0,560,6.60E+18,1.45284E+12,2.22785E+12,5.0775E+12
481824,1503539857,8.88E+11,-3.8,0x18013ce9,624,6.36E+18,1.36442E+12,2.60308E+12,5.36368E+12
483840,1504704195,9.23E+11,3.89,0x1801310b,578,6.60E+18,1.347E+12,2.87467E+12,5.17867E+12
